player_name,birthday,height,weight
Aaron Appindangoye,1992-02-29 00:00:00,182.88,187
Aaron Cresswell,1989-12-15 00:00:00,170.18,146
Aaron Doran,1991-05-13 00:00:00,170.18,163
Aaron Galindo,1982-05-08 00:00:00,182.88,198
Aaron Hughes,1979-11-08 00:00:00,182.88,154
Aaron Hunt,1986-09-04 00:00:00,182.88,161
Aaron Kuhl,1996-01-30 00:00:00,172.72,146
Aaron Lennon,1987-04-16 00:00:00,165.1,139
Aaron Lennox,1993-02-19 00:00:00,190.5,181
Aaron Meijers,1987-10-28 00:00:00,175.26,170
Aaron Mokoena,1980-11-25 00:00:00,182.88,181
Aaron Mooy,1990-09-15 00:00:00,175.26,150
Aaron Muirhead,1990-08-30 00:00:00,187.96,168
Aaron Niguez,1989-04-26 00:00:00,170.18,143
Aaron Ramsey,1990-12-26 00:00:00,177.8,154
Aaron Splaine,1996-10-13 00:00:00,172.72,163
Aaron Taylor-Sinclair,1991-04-08 00:00:00,182.88,176
Aaron Wilbraham,1979-10-21 00:00:00,190.5,159
Aatif Chahechouhe,1986-07-02 00:00:00,175.26,150
Abasse Ba,1976-07-12 00:00:00,187.96,185
Abdelaziz Barrada,1989-06-19 00:00:00,177.8,161
Abdelfettah Boukhriss,1986-10-22 00:00:00,185.42,161
Abdelhamid El Kaoutari,1990-03-17 00:00:00,180.34,161
Abdelkader Ghezzal,1984-12-05 00:00:00,182.88,172
Abdellah Zoubir,1991-12-05 00:00:00,180.34,161
Abdelmajid Oulmers,1978-09-12 00:00:00,172.72,143
Abdelmalek Cherrad,1981-01-14 00:00:00,185.42,165
Abdelmalek El Hasnaoui,1994-02-09 00:00:00,180.34,159
Abdelouahed Chakhsi,1986-10-01 00:00:00,182.88,170
Abderrazak Jadid,1983-06-01 00:00:00,177.8,157
Abdeslam Ouaddou,1978-11-01 00:00:00,190.5,181
Abdessalam Benjelloun,1985-01-28 00:00:00,187.96,179
Abdou Diallo,1996-05-04 00:00:00,182.88,159
Abdou Traore,1988-01-17 00:00:00,180.34,174
Abdoul Ba,1994-02-08 00:00:00,200.66,212
Abdoul Karim Yoda,1988-10-25 00:00:00,182.88,161
Abdoul Razzagui Camara,1990-02-20 00:00:00,177.8,157
Abdoulay Konko,1984-03-09 00:00:00,182.88,157
Abdoulaye Ba,1991-01-01 00:00:00,198.12,174
Abdoulaye Bamba,1990-04-25 00:00:00,182.88,150
Abdoulaye Diaby,1991-05-21 00:00:00,172.72,154
Abdoulaye Diallo,1992-03-30 00:00:00,187.96,174
Abdoulaye Doucoure,1993-01-01 00:00:00,182.88,165
Abdoulaye Faye,1978-02-26 00:00:00,187.96,218
Abdoulaye Keita,1994-01-05 00:00:00,175.26,165
Abdoulaye Meite,1980-10-06 00:00:00,185.42,181
Abdoulaye Toure,1994-03-03 00:00:00,187.96,170
Abdoulwahid Sissoko,1990-03-20 00:00:00,182.88,165
Abdourahman Dampha,1991-12-27 00:00:00,182.88,168
Abdul Aziz Tetteh,1989-02-10 00:00:00,182.88,190
Abdul Majeed Waris,1991-09-19 00:00:00,172.72,157
Abdul Osman,1987-02-27 00:00:00,182.88,154
Abdul Rahman Baba,1994-07-02 00:00:00,177.8,154
Abdul-Yakinu Iddi,1986-05-25 00:00:00,172.72,146
Abdulkader Keita,1981-08-06 00:00:00,182.88,172
Abdulla Fatadi,1985-11-02 00:00:00,175.26,172
Abdullah Omar,1987-01-01 00:00:00,175.26,157
Abdullahi Shehu,1993-03-12 00:00:00,180.34,159
Abel Aguilar,1985-01-06 00:00:00,185.42,176
Abel Gomez,1982-02-20 00:00:00,182.88,165
Abel Hernandez,1990-08-08 00:00:00,185.42,161
Abel Issa Camara,1990-01-06 00:00:00,185.42,179
Abel Khaled,1992-11-09 00:00:00,180.34,148
Abel Tamata,1990-12-05 00:00:00,182.88,170
Abel,1978-12-22 00:00:00,177.8,165
Abella Perez Damia,1982-04-15 00:00:00,187.96,174
Abiola Dauda,1988-02-03 00:00:00,180.34,165
Abou Diaby,1986-05-11 00:00:00,193.04,168
Aboubacar Tandia,1983-10-05 00:00:00,193.04,185
Aboubakar Kamara,1995-03-07 00:00:00,177.8,168
Aboubakar Oumarou,1987-04-01 00:00:00,182.88,168
Abraham Gonzalez,1985-07-16 00:00:00,177.8,176
Abraham Guie Gneki,1986-07-25 00:00:00,180.34,154
Abraham Kudemor,1985-02-25 00:00:00,182.88,179
Abraham Minero,1986-02-22 00:00:00,175.26,157
Abraham Paz Cruz,1979-03-14 00:00:00,177.8,165
Achille Coser,1982-07-14 00:00:00,185.42,174
Achille Emana,1982-06-05 00:00:00,180.34,170
Achille Vaarnold,1996-01-26 00:00:00,175.26,157
Achmed Ahahaoui,1983-12-06 00:00:00,177.8,152
Achraf Lazaar,1992-09-22 00:00:00,182.88,168
Aco Stojkov,1983-04-29 00:00:00,177.8,165
Adailton,1983-04-14 00:00:00,190.5,187
Adailton,1977-01-24 00:00:00,175.26,161
Adalberto Penaranda,1997-05-31 00:00:00,182.88,172
Adam Armstrong,1997-02-10 00:00:00,172.72,152
Adam Banas,1982-12-25 00:00:00,185.42,174
Adam Bodzek,1985-09-07 00:00:00,182.88,174
Adam Bogdan,1987-09-27 00:00:00,193.04,198
Adam Brown,1995-06-09 00:00:00,177.8,141
Adam Buksa,1996-07-12 00:00:00,190.5,172
Adam Campbell,1995-01-01 00:00:00,170.18,161
Adam Collin,1984-12-09 00:00:00,190.5,172
Adam Cummins,1993-03-03 00:00:00,187.96,172
Adam Danch,1987-12-15 00:00:00,182.88,179
Adam Deja,1993-06-24 00:00:00,185.42,181
Adam Drury,1978-08-29 00:00:00,180.34,161
Adam Drury,1993-09-09 00:00:00,177.8,152
