Grape,Winery,Appelation,State,Name,Year,Price,Score,Cases,Drink
Zinfandel,Robert Biale,St. Helena,California,Old Kraft Vineyard,2008,44,93,275,now
Zinfandel,Chiarello Family,Napa Valley,California,Giana,2008,35,93,480,now
Zinfandel,Robert Biale,Napa Valley,California,Black Chicken,2008,40,91,2700,2012
Zinfandel,Robert Biale,Napa Valley,California,Napa Ranches,2008,38,89,525,now
Zinfandel,Robert Biale,St. Helena,California,Varozza Vineyard,2008,44,88,275,2012
Zinfandel,Pedroncelli,Dry Creek Valley,California,Mother Clone,2008,15,88,6000,now
Sauvignon Blanc,Altamura,Napa Valley,California,Sauvignon Blanc,2007,48,92,500,now
Sauvignon Blanc,Capture,Sonoma County,California,Les Pionniers,2009,36,92,360,now
Sauvignon Blanc,Brander,Santa Ynez Valley,California,Cuvee Nicolas,2009,25,91,377,now
Sauvignon Blanc,Capture,California,California,Tradition,2009,30,91,875,now
Sauvignon Blanc,John Anthony,Carneros,California,Church Vineyard,2009,28,91,354,now
Sauvignon Blanc,Grey Stack,Bennett Valley,California,Rosemarys Block Dry Stack Vineyard,2009,28,90,700,now
Sauvignon Blanc,Round Pond Estate,Rutherford,California,Sauvignon Blanc,2009,26,90,714,now
Sauvignon Blanc,Beckmen,Santa Ynez Valley,California,Sauvignon Blanc,2009,16,89,1500,now
Sauvignon Blanc,Beltane Ranch,Sonoma Valley,California,Sauvignon Blanc,2009,23,89,413,now
Sauvignon Blanc,Brander,Santa Ynez Valley,California,Mesa Verde Vineyard,2009,22,89,380,now
Sauvignon Blanc,Cade,Napa Valley,California,Sauvignon Blanc,2008,26,89,5200,now
Sauvignon Blanc,Jericho Canyon,Napa Valley,California,Sauvignon Blanc,2009,25,89,370,now
Sauvignon Blanc,John Anthony,Napa Valley,California,Sauvignon Blanc,2009,19,89,3098,now
Sauvignon Blanc,Kenzo,Napa Valley,California,Asatsuyu,2008,60,89,600,now
Sauvignon Blanc,Madrigal,Napa Valley,California,Estate,2009,25,89,200,now
Sauvignon Blanc,Joseph Phelps,St. Helena,California,Sauvignon Blanc,2008,32,89,2000,now
Sauvignon Blanc,Sbragia Family,Dry Creek Valley,California,Home Ranch,2009,20,89,1698,now
Sauvignon Blanc,Selene,Carneros,California,Hyde Vineyards,2009,27,89,750,now
Sauvignon Blanc,Brander,Santa Ynez Valley,California,Purisma Mountain,2009,25,88,260,now
Sauvignon Blanc,Cimarone,Happy Canyon of Santa Barbara,California,3CV Grassini Family Vineyards,2009,21,88,270,now
Sauvignon Blanc,Sbragia Family,Dry Creek Valley,California,Schmidt Ranch,2009,24,88,602,now
Sauvignon Blanc,Azur,Rutherford,California,Sauvignon Blanc,2009,24,87,1000,now
Sauvignon Blanc,Brander,Santa Ynez Valley,California,Cuvee Natalie,2009,18,87,857,now
Sauvignon Blanc,Brander,Santa Ynez Valley,California,au Naturel,2009,32,87,759,now
Sauvignon Blanc,Imagery,Sonoma Valley,California,Wow Oui,2009,27,87,874,now
Sauvignon Blanc,Koehler,Santa Ynez Valley,California,Sauvignon Blanc,2008,12,87,505,now
Sauvignon Blanc,Twomey,Napa Valley,California,Sauvignon Blanc,2009,25,87,3326,now
Sauvignon Blanc,White Oak,Russian River Valley,California,Sauvignon Blanc,2008,16,87,2000,now
Sauvignon Blanc,Benziger,Sonoma-Lake Counties,California,Sauvignon Blanc,2009,15,86,20000,now
Sauvignon Blanc,Kunde Estate,Sonoma Valley,California,Magnolia Lane,2009,16,86,15000,now
Sauvignon Blanc,J. Lohr,Napa Valley,California,Carols Vineyard,2009,24,86,2900,now
Sauvignon Blanc,Pedroncelli,Dry Creek Valley,California,East Side Vineyards,2009,12,86,5100,now
Sauvignon Blanc,Star Lane,Santa Ynez Valley,California,Sauvignon Blanc,2008,20,86,2800,now
Sauvignon Blanc,Angeline,Russian River Valley,California,Sauvignon Blanc,2009,14,85,8500,now
Sauvignon Blanc,Manifesto!,North Coast,California,Sauvignon Blanc,2008,12,85,8100,now
Sauvignon Blanc,Mirassou,California,California,Sauvignon Blanc,2008,12,85,42000,now
Pinot Noir,Kosta Browne,Russian River Valley,California,Amber Ridge Vineyard,2008,72,95,600,now
Pinot Noir,Kosta Browne,Russian River Valley,California,Keefer Ranch,2008,72,95,613,now
Pinot Noir,Kosta Browne,Russian River Valley,California,Koplen Vineyard,2008,72,95,792,now
Pinot Noir,Patz & Hall,Russian River Valley,California,Freestone Hill,2007,70,95,245,now
Pinot Noir,Paul Hobbs,Napa Valley,California,Carneros Hyde Vineyard,2008,75,94,741,now
Pinot Noir,Kosta Browne,Santa Lucia Highlands,California,Garys Vineyard,2008,72,94,422,now
Pinot Noir,Kosta Browne,Sonoma Coast,California,Kanzler Vineyard,2008,72,94,564,now
Pinot Noir,Lynmar,Russian River Valley,California,Five Sisters,2007,100,94,147,now
Pinot Noir,Kosta Browne,Santa Lucia Highlands,California,Pisoni Vineyard,2008,72,93,115,now
Pinot Noir,Kosta Browne,Santa Lucia Highlands,California,Rosellas Vineyard,2008,72,93,255,now
Pinot Noir,Landmark,Sonoma Coast,California,Kanzler Vineyard,2008,65,93,200,now
Pinot Noir,Lynmar,Russian River Valley,California,Valley Bliss Block,2008,70,93,152,now
Pinot Noir,Patz & Hall,Sonoma Coast,California,Pinot Noir,2008,42,93,3103,now
Pinot Noir,Valdez Family,Russian River Valley,California,Lancel Creek Vineyard,2007,55,93,130,now
Pinot Noir,De Loach,Green Valley of Russian River Valley,California,Pinot Noir,2008,45,92,1467,now
Pinot Noir,Kosta Browne,California,California,4-Barrel,2008,72,92,97,now
Pinot Noir,Kosta Browne,Sonoma Coast,California,Gaps Crown Vineyard,2008,68,92,690,now
Pinot Noir,Rusack,Sta. Rita Hills,California,Reserve,2008,40,89,340,now
Pinot Noir,Acacia,California,California,A by Acacia,2008,17,88,58231,now
Pinot Noir,Alma Rosa,Sta. Rita Hills,California,La Encantada Vineyard,2008,43,88,591,now
Pinot Noir,Alma Rosa,Sta. Rita Hills,California,La Encantada Vineyard Clone 667,2008,43,88,358,now
Pinot Noir,Artesa,Carneros,California,Estate Reserve,2007,40,88,3527,now
Pinot Noir,Robert Mondavi,Napa Valley,California,Carneros,2008,28,88,30300,now
Pinot Noir,Pfendler,Sonoma Coast,California,Pinot Noir,2008,45,88,400,now
Pinot Noir,Roar,Santa Lucia Highlands,California,Garys Vineyard,2008,50,88,710,now
Pinot Noir,Rusack,Santa Maria Valley,California,Pinot Noir,2008,36,88,833,now
Pinot Noir,Sequana,Santa Lucia Highlands,California,Sarmento Vineyard,2008,32,88,500,now
Pinot Noir,Twomey,Santa Barbara County,California,Pinot Noir,2008,30,88,1510,now
Pinot Noir,Castle Rock,Central Coast,California,Pinot Noir,2008,13,87,36000,now
Pinot Noir,V. Sattui,Carneros,California,Henry Ranch,2008,36,87,951,now
Pinot Noir,Sebastiani,Carneros,California,Pinot Noir,2008,24,87,720,now
Pinot Noir,Talbott,Santa Lucia Highlands,California,Kali Hart,2008,21,87,8000,now
Pinot Noir,Tudor,Santa Lucia Highlands,California,Pinot Noir,2007,40,87,3965,now
Pinot Noir,Twomey,Sonoma Coast,California,Pinot Noir,2008,50,87,1255,now
Pinot Noir,Castle Rock,Russian River Valley,California,Pinot Noir,2008,18,86,2400,now
Pinot Noir,Talbott,Santa Lucia Highlands,California,Sleepy Hollow Vineyard,2008,40,86,2500,now
Pinot Noir,Greg Norman California Estates,Santa Barbara County,California,Pinot Noir,2008,15,85,25000,now
Syrah,Chalk Hill,Chalk Hill,California,Syrah,2007,60,94,304,2001
Syrah,DuMOL,Russian River Valley,California,Eddies Patch,2007,76,92,420,2011
Malbec,Red Rock,California,California,Reserve,2008,11,86,16281,now
Grenache,Sine Qua Non,Sta. Rita Hills,California,In the Crosshairs Eleven Confessions Vineyard,2006,200,97,202,now
Grenache,Herman Story,California,California,On the Road,2008,36,93,398,now
Grenache,Villa Creek,Paso Robles,California,Garnacha Denner Vineyard,2008,35,91,350,now
Grenache,Beckmen,Santa Ynez Valley,California,Purisma Mountain Vineyard,2008,48,88,500,now
Grenache,Bella Victorian,Santa Barbara County,California,Romeo,2006,39,87,300,now
Grenache,Austine Hope,Paso Robles,California,Hope Family Vineyard,2009,42,87,566,now
Grenache,Jemrose,Bennett Valley,California,Foggy Knoll Vineyard,2008,38,87,275,now
Petite Sirah,Alta Colina,Paso Robles,California,Anns Block,2008,48,91,123,now
Petite Sirah,Erna Schein,Sonoma County,California,Kick Ranch,2008,48,91,312,now
Petite Sirah,Jaffurs,Santa Barbara County,California,Thompson Vineyard,2009,34,90,501,now
Petite Sirah,Turley,Napa Valley,California,Hayne Vineyard,2008,75,90,350,now
Petite Sirah,JC Cellars,Russian River Valley,California,Sweetwater Springs Vineyard,2008,35,89,340,now
Petite Sirah,Parducci,Mendocino County,California,Petite Sirah,2007,11,85,15340,now
Pinot Noir,A.P.Vin,Santa Lucia Highlands,California,Rosellas Vineyard,2009,48,95,325,now
Pinot Noir,Siduri,Santa Lucia Highlands,California,Pisoni Vineyard,2009,54,95,364,now
Pinot Noir,A.P.Vin,Sonoma Coast,California,Kanzler Vineyard,2009,48,94,200,now
Pinot Noir,Loring,Paso Robles,California,Russel Family Vineyard,2009,45,94,250,now
Pinot Noir,Loring,Sonoma Coast,California,Durell Vineyard,2009,45,94,200,now
Pinot Noir,Siduri,Santa Lucia Highlands,California,Garys Vineyard,2009,51,94,298,now
Pinot Noir,A.P.Vin,Santa Lucia Highlands,California,Garys Vineyard,2009,48,93,300,now
Pinot Noir,A.P.Vin,Santa Maria Valley,California,Rancho Oliveros Vineyard,2009,48,93,50,now
Pinot Noir,Loring,Green Valley of Russian River Valley,California,Graham Family Vineyard,2009,45,93,150,now
Pinot Noir,Loring,Santa Lucia Highlands,California,Pinot Noir,2009,29,93,600,now
Pinot Noir,Loring,Santa Lucia Highlands,California,Garys Vineyard,2009,45,93,450,now
Pinot Noir,Loring,Sta. Rita Hills,California,Clos Pepe Vineyard,2009,45,93,1000,2011
Pinot Noir,A.P.Vin,Russian River Valley,California,Keefer Ranch Vineyard,2009,48,92,200,now
Pinot Noir,Loring,Green Valley of Russian River Valley,California,Keefer Ranch Vineyard,2009,45,92,400,now
Pinot Noir,Loring,Sta. Rita Hills,California,Cargasacchi Vineyard,2009,45,92,175,now
Pinot Noir,Siduri,Santa Lucia Highlands,California,Pinot Noir,2009,29,92,1855,now
Pinot Noir,A.P.Vin,Sta. Rita Hills,California,Clos Pepe Vineyard,2009,48,91,150,now
Pinot Noir,A.P.Vin,Sta. Rita Hills,California,Turner Vineyard,2009,48,91,150,now
Pinot Noir,Loring,Sta. Rita Hills,California,Rancho La Vina Vineyard,2009,45,91,125,now
Pinot Noir,Clouds Rest,Sonoma Coast,California,Limited Release,2007,69,90,600,now
Pinot Noir,Loring,San Luis Obispo County,California,Aubaine Vineyard,2009,45,90,500,now
Pinot Noir,Loring,Sta. Rita Hills,California,Pinot Noir,2009,29,88,600,now
Syrah,Sine Qua Non,Sta. Rita Hills,California,A Shot in the Dark Eleven Confessions Vineyard,2006,200,98,442,2012
Syrah,Favia,Amador County,California,Quarzo,2008,65,95,154,now
Syrah,Roar,Santa Lucia Highlands,California,Rosellas Vineyard,2008,40,94,140,2011
Syrah,Carlisle,Bennett Valley,California,Cardiac Hill,2008,45,93,239,now
Syrah,Herman Story,Santa Barbara County,California,White Hawk Vineyard,2008,36,93,132,now
Syrah,Zaca Mesa,Santa Ynez Valley,California,Mesa Reserve,2007,42,93,992,2012
Syrah,JC Cellars,California,California,Twist of Fate,2008,55,92,206,now
Syrah,Roar,Santa Lucia Highlands,California,Garys Vineyard,2008,40,92,110,2012
Syrah,Adobe Road,Dry Creek Valley,California,Kemp Vineyard,2007,40,91,235,now
Syrah,Novy,Russian River Valley,California,Christensen Family Vineyard,2008,27,91,177,now
Syrah,Ojai,Sta. Rita Hills,California,Melville Vineyards,2006,44,91,238,now
Syrah,Joseph Phelps,Napa Valley,California,Syrah,2008,50,90,600,now
Syrah,Red Car,California,California,The Flight,2008,55,90,394,now
Syrah,Tensley,Santa Barbara County,California,Colson Canyon Vineyard,2009,38,90,1495,now
Syrah,Red Lava,Red Hills Lake County,California,Syrah,2007,22,89,977,now
Syrah,Rosenblum,Solano County,California,England-Shaw,2007,35,89,735,now
Syrah,Eberle,Paso Robles,California,Rose Steinbeck Vineyard,2009,17,88,705,now
Syrah,Keller,Sonoma Coast,California,La Cruz Vineyard,2007,40,88,308,now
Syrah,Fess Parker,Santa Barbara County,California,Syrah,2008,20,88,2831,now
Syrah,Pride,Sonoma County,California,Syrah,2008,60,88,575,2011
Syrah,Red Car,Sonoma County,California,Syrah,2008,45,88,961,now
Syrah,Rosenblum,Lake County,California,Snows Lake Vineyard,2007,25,88,486,now
Syrah,Rosenblum,Lodi,California,Abba Vineyard,2007,25,88,450,now
Syrah,Stolpman,Santa Ynez Valley,California,Originals,2008,38,88,950,now
Syrah,Boheme,Sonoma Coast,California,Que Syrah Vineyard,2006,40,87,185,now
Syrah,J. Lohr,Paso Robles,California,Gesture Limited Release,2008,30,87,514,2011
Syrah,Rosenblum,Sonoma County,California,Kick Ranch Reserve,2007,45,87,496,2012
Syrah,Zaca Mesa,Santa Ynez Valley,California,Syrah,2007,24,87,7651,now
Zinfandel,Turley,Howell Mountain,California,Cedarman,2008,29,93,400,now
Zinfandel,Turley,Napa Valley,California,Tofanelli Vineyard,2008,34,93,200,now
Zinfandel,Collier Falls,Dry Creek Valley,California,Private Reserve,2006,32,92,300,now
Zinfandel,Turley,Sonoma Valley,California,Fredericks Vineyard,2008,42,91,300,now
Zinfandel,Carlisle,Sonoma Valley,California,Rossi Ranch,2008,40,90,119,2012
Zinfandel,Dark Horse,Dry Creek Valley,California,Treborce Vineyard,2008,28,90,750,now
Zinfandel,St. Francis,Sonoma County,California,Wild Oak Old Vines,2007,38,89,1900,now
Zinfandel,Girard,Napa Valley,California,Old Vine,2008,24,88,2850,now
Zinfandel,Sextant,Paso Robles,California,Wheelhouse,2008,20,88,3300,now
Zinfandel,Artezin,Mendocino County,California,Zinfandel,2009,18,87,15000,now
Zinfandel,Terra dOro,Amador County,California,SHR Field Blend,2007,30,87,1250,now
Zinfandel,Cameron Hughes,Lake County,California,Lot 154,2006,13,86,584,now
Zinfandel,Rubicon Estate,Rutherford,California,Edizione Pennino,2008,45,86,2278,now
Chardonnay,Lewis,Napa Valley,California,Chardonnay,2009,48,92,1800,now
Chardonnay,Keller,Sonoma Coast,California,La Cruz Vineyard,2008,36,91,507,now
Merlot,Darioush,Napa Valley,California,Signature,2007,48,89,1779,now
Tempranillo,Four Vines,Paso Robles,California,Loco,2008,40,88,700,now
Syrah,Four Vines,Amador County,California,Bailey Vineyard,2005,38,93,440,now
Syrah,Krupp Brothers,Napa Valley,California,Black Bart Stagecoach Vineyard,2005,52,91,1219,now
Syrah,Paloma,Dry Creek Valley,California,Polomita Hamilton Vineyard,2005,45,91,250,now
Syrah,Rosenblum,Yolo County,California,Rominger Vineyard,2005,25,91,1125,now
Zinfandel,Four Vines,Amador County,California,Maverick,2005,24,91,2529,now
Syrah,Chateau Potelle,Mount Vedeer,California,VGS,2004,75,90,238,now
Syrah,Kosta Browne,Russian River Valley,California,Amber Ridge Vineyard,2004,45,90,320,now
Syrah,Ojai,California,California,Roll Ranch Vineyard,2004,45,90,700,now
Syrah,Whitestone,Sonoma Coast,California,Guidici Famili Vineyard,2005,55,90,200,now
Pinot Noir,Adrian Fog,Anderson Valley,California,Savoy Vineyard,2005,75,92,440,now
Pinot Noir,Davis Bynum,Russian River Valley,California,The Backbone,2004,75,92,117,now
Pinot Noir,Davis Bynum,Russian River Valley,California,Laurels Estate Vineyard,2004,75,91,142,now
Pinot Noir,Davis Bynum,Russian River Valley,California,Bynum & Moshin Vineyards,2004,50,91,314,now
Pinot Noir,Calera,Mount Harlan,California,Jensen Vineyard,2004,60,91,1262,now
Zinfandel,Rosenblum,Rockpile,California,Rockpile Road Vineyard,2005,35,91,3558,now
Pinot Noir,Toulouse,Anderson Valley,California,Pinot Noir,2005,39,91,1050,now
